2026-07-30 17:45:47 | INFO | Using device: mps
2026-07-30 17:48:47 | ERROR | Failed row 128 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (122).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:47 | ERROR | Failed row 129 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (123).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:47 | ERROR | Failed row 130 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (124).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:47 | ERROR | Failed row 131 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (125).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:47 | ERROR | Failed row 132 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (126).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:47 | ERROR | Failed row 133 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (127).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:47 | ERROR | Failed row 134 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (128).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:47 | ERROR | Failed row 135 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (129).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:47 | ERROR | Failed row 136 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (13).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:47 | ERROR | Failed row 137 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (130).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:47 | ERROR | Failed row 138 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (131).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:47 | ERROR | Failed row 139 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (132).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:47 | ERROR | Failed row 140 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (133).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:47 | ERROR | Failed row 141 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (134).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 142 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (135).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 143 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (136).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 144 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (137).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 145 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (138).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 146 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (139).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 147 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (14).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 148 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (140).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 149 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (141).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 150 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (142).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 151 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (143).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 152 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (144).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 153 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (145).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 154 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (146).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 155 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (147).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 156 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (148).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 157 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (149).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 158 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (15).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 159 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (150).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 160 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (151).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 161 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (152).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 162 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (153).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 163 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (154).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 164 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (155).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 165 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (156).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 166 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (157).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 167 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (158).jpg): Classical feature dim mismatch: got 91, expected 1067
